katedra,zkratka,idno,typAkceZkr,rok,datumOd,datumDo,hodinaSkutOd,hodinaSkutDo,katedra_right,nazev,prednasejici,prednasejiciUcitIdno,jmena
KI,OON,6973,Př,2023,4.10.2023,3.1.2024,16:00,16:50,KI,Objektově orientovaný návrh,"'RNDr. Petr Kubera, Ph.D.'",650,"Beránek Pavel, Ing. Mgr."
KI,OTT,9114,Př,2023,22.2.2024,16.5.2024,12:00,13:50,KI,Optimalizace,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Petr Kubera, Ph.D.'","449, 650","Moosaei Hossein, Dr. Ph.D."
KBI,P102,8317,Př,2023,3.10.2023,2.1.2024,09:00,09:50,KBI,Úvod do studia biologie,"'RNDr. Jan Ipser, CSc.'",930,"Herma Regina, RNDr. Ph.D."
KBI,P115,8512,Př,2023,4.10.2023,3.1.2024,14:00,15:50,KBI,Biologie prokaryot a virů,"'RNDr. Jan Ipser, CSc.'",930,"Šebestová Janoušková Olga, Mgr. Ph.D."
KBI,P201,1983,Př,2023,2.10.2023,18.12.2023,13:00,15:50,KBI,Chemie a fyzika živých soustav,"",,"Benada Oldřich, RNDr. CSc."
KBI,P202,279,Př,2023,19.2.2024,13.5.2024,10:00,11:50,KBI,Fylogeneze a systém vyšších rostlin,"",,"Kubát Karel, doc. RNDr. CSc."
KBI,P210,930,Př,2023,23.2.2024,17.5.2024,11:00,13:50,KBI,Genetika,"",,"Ipser Jan, RNDr. CSc."
KMA,P232,5205,Př,2023,19.2.2024,13.5.2024,16:00,17:50,KMA,Vybrané partie z matematiky,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"Pitrová Veronika, RNDr. PhD., Ph.D."
KBI,P301,283,Př,2023,2.10.2023,18.12.2023,16:00,17:50,KBI,Fylogeneze a systém nižších rostlin,"'prof. doc. RNDr. Milan Gryndler, CSc.'",3661,"Němcová Lenka, RNDr. CSc."
KBI,P526,5471,Př,2023,2.10.2023,18.12.2023,11:00,12:50,KBI,Fyziologie rostlin,"'Mgr. Jan Malý, Ph.D.'",280,"Auer Malinská Hana, Mgr. Ph.D."
KBI,P609,930,Př,2023,22.2.2024,16.5.2024,14:00,16:50,KBI,Evoluční biologie,"",,"Ipser Jan, RNDr. CSc."
KBI,P609,4472,Př,2023,22.2.2024,16.5.2024,14:00,16:50,KBI,Evoluční biologie,"",,"Liegertová Michaela, Mgr. Ph.D."
KBI,P618,930,Př,2023,23.2.2024,17.5.2024,11:00,13:50,KBI,Genetika,"",,"Ipser Jan, RNDr. CSc."
KBI,PB333,8512,Př,2023,4.10.2023,3.1.2024,14:00,15:50,KBI,Biologie prokaryot a virů,"'RNDr. Jan Bobek, Ph.D.', 'RNDr. Jan Ipser, CSc.'","5094, 930","Šebestová Janoušková Olga, Mgr. Ph.D."
CNB,PB617,8512,Př,2023,23.2.2024,17.5.2024,10:00,12:50,CNB,Molekulární biologie,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"Šebestová Janoušková Olga, Mgr. Ph.D."
KI,PDSA,3416,Př,2023,6.10.2023,5.1.2024,12:00,13:50,KI,Pokročilé datové struktury a algoritmy,"'Mgr. Jiří Fišer, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'RNDr. Jiří Škvor, Ph.D.'","251, 2239, 2220","Babichev Sergii, prof. CSc., DSc."
KFY,PSVN,7640,Př,2023,5.10.2023,4.1.2024,13:00,14:50,KFY,Počítačové simulace v nanotechnologiích,"'doc. Ing. Jaromír Havlica, Ph.D.', 'doc. RNDr. Jan Jirsák, Ph.D.', 'doc. RNDr. Marek Malý, Ph.D.', 'doc. RNDr. Filip Moučka, Ph.D.', 'prof. RNDr. Stanislav Novák, CSc.', 'Mgr. Martin Svoboda, Ph.D.', 'RNDr. Martin Švec, Ph.D.'","1803, 2855, 304, 3222, 306, 5958, 613","Dočkal Jan, RNDr. Ph.D."
KFY,PSVN,609,Př,2023,5.10.2023,4.1.2024,13:00,14:50,KFY,Počítačové simulace v nanotechnologiích,"'doc. Ing. Jaromír Havlica, Ph.D.', 'doc. RNDr. Jan Jirsák, Ph.D.', 'doc. RNDr. Marek Malý, Ph.D.', 'doc. RNDr. Filip Moučka, Ph.D.', 'prof. RNDr. Stanislav Novák, CSc.', 'Mgr. Martin Svoboda, Ph.D.', 'RNDr. Martin Švec, Ph.D.'","1803, 2855, 304, 3222, 306, 5958, 613","Lísal Martin, prof. Ing. DSc."
KI,SOC,3416,Př,2023,23.2.2024,17.5.2024,12:00,13:50,KI,Soft Computing,"'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","650, 2239","Babichev Sergii, prof. CSc., DSc."
KFY,UDPM,7640,Př,2023,5.10.2023,4.1.2024,13:00,14:50,KFY,Úvod do počítačového modelování,"'doc. Ing. Jaromír Havlica, Ph.D.', 'doc. RNDr. Jan Jirsák, Ph.D.', 'doc. RNDr. Marek Malý, Ph.D.', 'doc. RNDr. Filip Moučka, Ph.D.', 'prof. RNDr. Stanislav Novák, CSc.', 'Mgr. Martin Svoboda, Ph.D.', 'RNDr. Martin Švec, Ph.D.'","1803, 2855, 304, 3222, 306, 5958, 613","Dočkal Jan, RNDr. Ph.D."
KFY,UDPM,609,Př,2023,5.10.2023,4.1.2024,13:00,14:50,KFY,Úvod do počítačového modelování,"'doc. Ing. Jaromír Havlica, Ph.D.', 'doc. RNDr. Jan Jirsák, Ph.D.', 'doc. RNDr. Marek Malý, Ph.D.', 'doc. RNDr. Filip Moučka, Ph.D.', 'prof. RNDr. Stanislav Novák, CSc.', 'Mgr. Martin Svoboda, Ph.D.', 'RNDr. Martin Švec, Ph.D.'","1803, 2855, 304, 3222, 306, 5958, 613","Lísal Martin, prof. Ing. DSc."
KI,VPOV,9114,Př,2023,21.2.2024,24.4.2024,15:00,15:50,KI,Vybrané partie z operačního výzkumu,"'RNDr. Petr Kubera, Ph.D.'",650,"Moosaei Hossein, Dr. Ph.D."
